frame,ticker,target,train_window,skipped,n_train,n_test,train_rmse,test_rmse,train_mae,test_mae,overfit_ratio,naive_baseline_test_rmse,beats_naive_baseline,accuracy_within_1pct,accuracy_within_2pct,accuracy_within_5pct,direction_accuracy,magnitude_calibration_factor,last_test_close_cents,last_test_predicted_pct,last_test_predicted_price_cents
daily,RGTU,target_high_h1,full_history,False,216,55,10.6893,12.1624,7.7372,7.7987,1.14,14.9241,True,16.36,23.64,50.91,81.82,1.4595,1151.0,7.8928,1241.85
daily,RGTU,target_high_h1,last_10y,False,216,55,10.6893,12.1624,7.7372,7.7987,1.14,14.9241,True,16.36,23.64,50.91,81.82,1.4595,1151.0,7.8928,1241.85
daily,RGTU,target_high_h1,last_5y,False,216,55,10.6893,12.1624,7.7372,7.7987,1.14,14.9241,True,16.36,23.64,50.91,81.82,1.4595,1151.0,7.8928,1241.85
daily,RGTU,target_high_h1,last_2y,False,216,55,10.6893,12.1624,7.7372,7.7987,1.14,14.9241,True,16.36,23.64,50.91,81.82,1.4595,1151.0,7.8928,1241.85
daily,RGTU,target_low_h1,full_history,False,216,55,7.6489,9.8226,6.0537,7.5419,1.28,12.928,True,12.73,20.0,41.82,85.45,1.3949,1151.0,-7.8045,1061.17
daily,RGTU,target_low_h1,last_10y,False,216,55,7.6489,9.8226,6.0537,7.5419,1.28,12.928,True,12.73,20.0,41.82,85.45,1.3949,1151.0,-7.8045,1061.17
daily,RGTU,target_low_h1,last_5y,False,216,55,7.6489,9.8226,6.0537,7.5419,1.28,12.928,True,12.73,20.0,41.82,85.45,1.3949,1151.0,-7.8045,1061.17
daily,RGTU,target_low_h1,last_2y,False,216,55,7.6489,9.8226,6.0537,7.5419,1.28,12.928,True,12.73,20.0,41.82,85.45,1.3949,1151.0,-7.8045,1061.17
daily,RGTU,target_close_h1,full_history,False,216,55,12.8311,15.2839,9.4918,11.1743,1.19,15.2414,False,12.73,18.18,30.91,45.45,,1151.0,0.2409,1153.77
daily,RGTU,target_close_h1,last_10y,False,216,55,12.8311,15.2839,9.4918,11.1743,1.19,15.2414,False,12.73,18.18,30.91,45.45,,1151.0,0.2409,1153.77
daily,RGTU,target_close_h1,last_5y,False,216,55,12.8311,15.2839,9.4918,11.1743,1.19,15.2414,False,12.73,18.18,30.91,45.45,,1151.0,0.2409,1153.77
daily,RGTU,target_close_h1,last_2y,False,216,55,12.8311,15.2839,9.4918,11.1743,1.19,15.2414,False,12.73,18.18,30.91,45.45,,1151.0,0.2409,1153.77
daily,RGTU,target_high_h5,full_history,False,213,54,36.377,39.7775,26.94,27.9896,1.09,40.5261,True,3.7,7.41,12.96,48.15,3.0077,977.8,11.8355,1093.53
daily,RGTU,target_high_h5,last_10y,False,213,54,36.377,39.7775,26.94,27.9896,1.09,40.5261,True,3.7,7.41,12.96,48.15,3.0077,977.8,11.8355,1093.53
daily,RGTU,target_high_h5,last_5y,False,213,54,36.377,39.7775,26.94,27.9896,1.09,40.5261,True,3.7,7.41,12.96,48.15,3.0077,977.8,11.8355,1093.53
daily,RGTU,target_high_h5,last_2y,False,213,54,36.377,39.7775,26.94,27.9896,1.09,40.5261,True,3.7,7.41,12.96,48.15,3.0077,977.8,11.8355,1093.53
daily,RGTU,target_low_h5,full_history,False,213,54,27.5084,30.6784,20.9712,21.527,1.12,31.7832,True,3.7,11.11,12.96,74.07,3.9976,977.8,-5.2237,926.72
daily,RGTU,target_low_h5,last_10y,False,213,54,27.5084,30.6784,20.9712,21.527,1.12,31.7832,True,3.7,11.11,12.96,74.07,3.9976,977.8,-5.2237,926.72
daily,RGTU,target_low_h5,last_5y,False,213,54,27.5084,30.6784,20.9712,21.527,1.12,31.7832,True,3.7,11.11,12.96,74.07,3.9976,977.8,-5.2237,926.72
daily,RGTU,target_low_h5,last_2y,False,213,54,27.5084,30.6784,20.9712,21.527,1.12,31.7832,True,3.7,11.11,12.96,74.07,3.9976,977.8,-5.2237,926.72
daily,RGTU,target_close_h5,full_history,False,213,54,34.6259,38.0016,26.2343,26.8602,1.1,37.6373,False,3.7,7.41,16.67,37.04,7.7194,977.8,4.2638,1019.49
daily,RGTU,target_close_h5,last_10y,False,213,54,34.6259,38.0016,26.2343,26.8602,1.1,37.6373,False,3.7,7.41,16.67,37.04,7.7194,977.8,4.2638,1019.49
daily,RGTU,target_close_h5,last_5y,False,213,54,34.6259,38.0016,26.2343,26.8602,1.1,37.6373,False,3.7,7.41,16.67,37.04,7.7194,977.8,4.2638,1019.49
daily,RGTU,target_close_h5,last_2y,False,213,54,34.6259,38.0016,26.2343,26.8602,1.1,37.6373,False,3.7,7.41,16.67,37.04,7.7194,977.8,4.2638,1019.49
daily,RGTU,target_high_h10,full_history,False,209,53,64.7883,50.2426,44.4241,42.4972,0.78,49.3627,False,0.0,0.0,3.77,41.51,2.9326,1467.0,17.7059,1726.75
daily,RGTU,target_high_h10,last_10y,False,209,53,64.7883,50.2426,44.4241,42.4972,0.78,49.3627,False,0.0,0.0,3.77,41.51,2.9326,1467.0,17.7059,1726.75
daily,RGTU,target_high_h10,last_5y,False,209,53,64.7883,50.2426,44.4241,42.4972,0.78,49.3627,False,0.0,0.0,3.77,41.51,2.9326,1467.0,17.7059,1726.75
daily,RGTU,target_high_h10,last_2y,False,209,53,64.7883,50.2426,44.4241,42.4972,0.78,49.3627,False,0.0,0.0,3.77,41.51,2.9326,1467.0,17.7059,1726.75
daily,RGTU,target_low_h10,full_history,False,209,53,49.9836,38.9015,35.4507,33.0984,0.78,38.9289,True,1.89,1.89,5.66,67.92,,1467.0,-0.1012,1465.52
daily,RGTU,target_low_h10,last_10y,False,209,53,49.9836,38.9015,35.4507,33.0984,0.78,38.9289,True,1.89,1.89,5.66,67.92,,1467.0,-0.1012,1465.52
daily,RGTU,target_low_h10,last_5y,False,209,53,49.9836,38.9015,35.4507,33.0984,0.78,38.9289,True,1.89,1.89,5.66,67.92,,1467.0,-0.1012,1465.52
daily,RGTU,target_low_h10,last_2y,False,209,53,49.9836,38.9015,35.4507,33.0984,0.78,38.9289,True,1.89,1.89,5.66,67.92,,1467.0,-0.1012,1465.52
daily,RGTU,target_close_h10,full_history,False,209,53,60.1087,45.5442,41.6169,40.0278,0.76,43.7384,False,0.0,0.0,1.89,32.08,,1467.0,9.5735,1607.44
daily,RGTU,target_close_h10,last_10y,False,209,53,60.1087,45.5442,41.6169,40.0278,0.76,43.7384,False,0.0,0.0,1.89,32.08,,1467.0,9.5735,1607.44
daily,RGTU,target_close_h10,last_5y,False,209,53,60.1087,45.5442,41.6169,40.0278,0.76,43.7384,False,0.0,0.0,1.89,32.08,,1467.0,9.5735,1607.44
daily,RGTU,target_close_h10,last_2y,False,209,53,60.1087,45.5442,41.6169,40.0278,0.76,43.7384,False,0.0,0.0,1.89,32.08,,1467.0,9.5735,1607.44
daily,RGTU,target_high_h20,full_history,False,201,51,142.182,67.2421,86.1876,60.744,0.47,57.4788,False,0.0,1.96,5.88,41.18,1.4869,1993.0,38.0587,2751.51
daily,RGTU,target_high_h20,last_10y,False,201,51,142.182,67.2421,86.1876,60.744,0.47,57.4788,False,0.0,1.96,5.88,41.18,1.4869,1993.0,38.0587,2751.51
daily,RGTU,target_high_h20,last_5y,False,201,51,142.182,67.2421,86.1876,60.744,0.47,57.4788,False,0.0,1.96,5.88,41.18,1.4869,1993.0,38.0587,2751.51
daily,RGTU,target_high_h20,last_2y,False,201,51,142.182,67.2421,86.1876,60.744,0.47,57.4788,False,0.0,1.96,5.88,41.18,1.4869,1993.0,38.0587,2751.51
daily,RGTU,target_low_h20,full_history,False,201,51,109.1153,54.3317,67.55,49.6055,0.5,45.9587,False,0.0,0.0,0.0,31.37,,1993.0,13.8422,2268.87
daily,RGTU,target_low_h20,last_10y,False,201,51,109.1153,54.3317,67.55,49.6055,0.5,45.9587,False,0.0,0.0,0.0,31.37,,1993.0,13.8422,2268.87
daily,RGTU,target_low_h20,last_5y,False,201,51,109.1153,54.3317,67.55,49.6055,0.5,45.9587,False,0.0,0.0,0.0,31.37,,1993.0,13.8422,2268.87
daily,RGTU,target_low_h20,last_2y,False,201,51,109.1153,54.3317,67.55,49.6055,0.5,45.9587,False,0.0,0.0,0.0,31.37,,1993.0,13.8422,2268.87
daily,RGTU,target_close_h20,full_history,False,201,51,129.5385,63.9452,77.7713,57.7355,0.49,53.0291,False,1.96,5.88,9.8,37.25,,1993.0,26.3555,2518.26
daily,RGTU,target_close_h20,last_10y,False,201,51,129.5385,63.9452,77.7713,57.7355,0.49,53.0291,False,1.96,5.88,9.8,37.25,,1993.0,26.3555,2518.26
daily,RGTU,target_close_h20,last_5y,False,201,51,129.5385,63.9452,77.7713,57.7355,0.49,53.0291,False,1.96,5.88,9.8,37.25,,1993.0,26.3555,2518.26
daily,RGTU,target_close_h20,last_2y,False,201,51,129.5385,63.9452,77.7713,57.7355,0.49,53.0291,False,1.96,5.88,9.8,37.25,,1993.0,26.3555,2518.26
daily,SPHL,target_high_h1,full_history,False,351,88,43.7247,81.6969,10.5808,46.6929,1.87,38.5159,False,4.55,12.5,26.14,81.4,0.2655,255.0,9.2299,278.54
daily,SPHL,target_high_h1,last_10y,False,351,88,43.7247,81.6969,10.5808,46.6929,1.87,38.5159,False,4.55,12.5,26.14,81.4,0.2655,255.0,9.2299,278.54
daily,SPHL,target_high_h1,last_5y,False,351,88,43.7247,81.6969,10.5808,46.6929,1.87,38.5159,False,4.55,12.5,26.14,81.4,0.2655,255.0,9.2299,278.54
daily,SPHL,target_high_h1,last_2y,False,351,88,43.7247,81.6969,10.5808,46.6929,1.87,38.5159,False,4.55,12.5,26.14,81.4,0.2655,255.0,9.2299,278.54
daily,SPHL,target_low_h1,full_history,False,351,88,9.5476,18.3817,4.9334,11.9683,1.93,8.0059,False,17.05,22.73,51.14,69.51,0.7018,255.0,-5.8608,240.05
daily,SPHL,target_low_h1,last_10y,False,351,88,9.5476,18.3817,4.9334,11.9683,1.93,8.0059,False,17.05,22.73,51.14,69.51,0.7018,255.0,-5.8608,240.05
daily,SPHL,target_low_h1,last_5y,False,351,88,9.5476,18.3817,4.9334,11.9683,1.93,8.0059,False,17.05,22.73,51.14,69.51,0.7018,255.0,-5.8608,240.05
daily,SPHL,target_low_h1,last_2y,False,351,88,9.5476,18.3817,4.9334,11.9683,1.93,8.0059,False,17.05,22.73,51.14,69.51,0.7018,255.0,-5.8608,240.05
daily,SPHL,target_close_h1,full_history,False,351,88,27.3474,64.6195,8.1481,36.4416,2.36,14.9349,False,6.82,18.18,38.64,45.35,0.2179,255.0,0.6028,256.54
daily,SPHL,target_close_h1,last_10y,False,351,88,27.3474,64.6195,8.1481,36.4416,2.36,14.9349,False,6.82,18.18,38.64,45.35,0.2179,255.0,0.6028,256.54
daily,SPHL,target_close_h1,last_5y,False,351,88,27.3474,64.6195,8.1481,36.4416,2.36,14.9349,False,6.82,18.18,38.64,45.35,0.2179,255.0,0.6028,256.54
daily,SPHL,target_close_h1,last_2y,False,351,88,27.3474,64.6195,8.1481,36.4416,2.36,14.9349,False,6.82,18.18,38.64,45.35,0.2179,255.0,0.6028,256.54
daily,SPHL,target_high_h5,full_history,False,348,87,61.7338,45.3709,20.6559,23.2331,0.73,45.6819,True,4.6,6.9,17.24,62.35,1.7532,263.0,10.7118,291.17
daily,SPHL,target_high_h5,last_10y,False,348,87,61.7338,45.3709,20.6559,23.2331,0.73,45.6819,True,4.6,6.9,17.24,62.35,1.7532,263.0,10.7118,291.17
daily,SPHL,target_high_h5,last_5y,False,348,87,61.7338,45.3709,20.6559,23.2331,0.73,45.6819,True,4.6,6.9,17.24,62.35,1.7532,263.0,10.7118,291.17
daily,SPHL,target_high_h5,last_2y,False,348,87,61.7338,45.3709,20.6559,23.2331,0.73,45.6819,True,4.6,6.9,17.24,62.35,1.7532,263.0,10.7118,291.17
daily,SPHL,target_low_h5,full_history,False,348,87,22.6121,13.0448,13.7888,9.3172,0.58,14.5201,True,10.34,14.94,39.08,67.06,2.0226,263.0,-6.1475,246.83
daily,SPHL,target_low_h5,last_10y,False,348,87,22.6121,13.0448,13.7888,9.3172,0.58,14.5201,True,10.34,14.94,39.08,67.06,2.0226,263.0,-6.1475,246.83
daily,SPHL,target_low_h5,last_5y,False,348,87,22.6121,13.0448,13.7888,9.3172,0.58,14.5201,True,10.34,14.94,39.08,67.06,2.0226,263.0,-6.1475,246.83
daily,SPHL,target_low_h5,last_2y,False,348,87,22.6121,13.0448,13.7888,9.3172,0.58,14.5201,True,10.34,14.94,39.08,67.06,2.0226,263.0,-6.1475,246.83
daily,SPHL,target_close_h5,full_history,False,348,87,39.1219,22.1604,16.6392,14.0627,0.57,22.0358,False,2.3,6.9,28.74,44.19,4.8633,263.0,0.9353,265.46
daily,SPHL,target_close_h5,last_10y,False,348,87,39.1219,22.1604,16.6392,14.0627,0.57,22.0358,False,2.3,6.9,28.74,44.19,4.8633,263.0,0.9353,265.46
daily,SPHL,target_close_h5,last_5y,False,348,87,39.1219,22.1604,16.6392,14.0627,0.57,22.0358,False,2.3,6.9,28.74,44.19,4.8633,263.0,0.9353,265.46
daily,SPHL,target_close_h5,last_2y,False,348,87,39.1219,22.1604,16.6392,14.0627,0.57,22.0358,False,2.3,6.9,28.74,44.19,4.8633,263.0,0.9353,265.46
daily,SPHL,target_high_h10,full_history,False,344,86,81.1071,43.5854,32.2259,24.274,0.54,44.955,True,2.33,5.81,17.44,57.65,2.1669,325.0,12.8448,366.75
daily,SPHL,target_high_h10,last_10y,False,344,86,81.1071,43.5854,32.2259,24.274,0.54,44.955,True,2.33,5.81,17.44,57.65,2.1669,325.0,12.8448,366.75
daily,SPHL,target_high_h10,last_5y,False,344,86,81.1071,43.5854,32.2259,24.274,0.54,44.955,True,2.33,5.81,17.44,57.65,2.1669,325.0,12.8448,366.75
daily,SPHL,target_high_h10,last_2y,False,344,86,81.1071,43.5854,32.2259,24.274,0.54,44.955,True,2.33,5.81,17.44,57.65,2.1669,325.0,12.8448,366.75
daily,SPHL,target_low_h10,full_history,False,344,86,33.7725,17.0229,20.4613,12.9653,0.5,17.6629,True,2.33,6.98,22.09,59.3,2.3798,325.0,-1.6116,319.76
daily,SPHL,target_low_h10,last_10y,False,344,86,33.7725,17.0229,20.4613,12.9653,0.5,17.6629,True,2.33,6.98,22.09,59.3,2.3798,325.0,-1.6116,319.76
daily,SPHL,target_low_h10,last_5y,False,344,86,33.7725,17.0229,20.4613,12.9653,0.5,17.6629,True,2.33,6.98,22.09,59.3,2.3798,325.0,-1.6116,319.76
daily,SPHL,target_low_h10,last_2y,False,344,86,33.7725,17.0229,20.4613,12.9653,0.5,17.6629,True,2.33,6.98,22.09,59.3,2.3798,325.0,-1.6116,319.76
daily,SPHL,target_close_h10,full_history,False,344,86,55.9901,23.2719,26.2222,15.9984,0.42,23.6094,True,9.3,10.47,25.58,44.19,6.2398,325.0,2.0954,331.81
daily,SPHL,target_close_h10,last_10y,False,344,86,55.9901,23.2719,26.2222,15.9984,0.42,23.6094,True,9.3,10.47,25.58,44.19,6.2398,325.0,2.0954,331.81
daily,SPHL,target_close_h10,last_5y,False,344,86,55.9901,23.2719,26.2222,15.9984,0.42,23.6094,True,9.3,10.47,25.58,44.19,6.2398,325.0,2.0954,331.81
daily,SPHL,target_close_h10,last_2y,False,344,86,55.9901,23.2719,26.2222,15.9984,0.42,23.6094,True,9.3,10.47,25.58,44.19,6.2398,325.0,2.0954,331.81
daily,SPHL,target_high_h20,full_history,False,336,84,46.8137,40.6823,26.4896,21.7029,0.87,41.7234,True,7.14,8.33,25.0,73.49,1.3012,287.0,2.5662,294.37
daily,SPHL,target_high_h20,last_10y,False,336,84,46.8137,40.6823,26.4896,21.7029,0.87,41.7234,True,7.14,8.33,25.0,73.49,1.3012,287.0,2.5662,294.37
daily,SPHL,target_high_h20,last_5y,False,336,84,46.8137,40.6823,26.4896,21.7029,0.87,41.7234,True,7.14,8.33,25.0,73.49,1.3012,287.0,2.5662,294.37
daily,SPHL,target_high_h20,last_2y,False,336,84,46.8137,40.6823,26.4896,21.7029,0.87,41.7234,True,7.14,8.33,25.0,73.49,1.3012,287.0,2.5662,294.37
