frame,ticker,target,train_window,skipped,n_train,n_test,train_rmse,test_rmse,train_mae,test_mae,overfit_ratio,naive_baseline_test_rmse,beats_naive_baseline,accuracy_within_1pct,accuracy_within_2pct,accuracy_within_5pct,direction_accuracy,magnitude_calibration_factor,last_test_close_cents,last_test_predicted_pct,last_test_predicted_price_cents,reason
daily,ATCX,target_high_h1,full_history,False,104.0,26.0,0.6472,3.7606,0.4961,3.079,5.81,4.9204,True,15.38,38.46,76.92,88.0,1.5664,317.0,1.8539,322.88,
daily,ATCX,target_high_h1,last_10y,False,104.0,26.0,0.6472,3.7606,0.4961,3.079,5.81,4.9204,True,15.38,38.46,76.92,88.0,1.5664,317.0,1.8539,322.88,
daily,ATCX,target_high_h1,last_5y,False,104.0,26.0,0.6472,3.7606,0.4961,3.079,5.81,4.9204,True,15.38,38.46,76.92,88.0,1.5664,317.0,1.8539,322.88,
daily,ATCX,target_high_h1,last_2y,False,104.0,26.0,0.6472,3.7606,0.4961,3.079,5.81,4.9204,True,15.38,38.46,76.92,88.0,1.5664,317.0,1.8539,322.88,
daily,ATCX,target_low_h1,full_history,False,104.0,26.0,0.7301,4.8321,0.5796,4.2309,6.62,5.0316,True,3.85,19.23,65.38,84.0,0.7321,317.0,-8.2119,290.97,
daily,ATCX,target_low_h1,last_10y,False,104.0,26.0,0.7301,4.8321,0.5796,4.2309,6.62,5.0316,True,3.85,19.23,65.38,84.0,0.7321,317.0,-8.2119,290.97,
daily,ATCX,target_low_h1,last_5y,False,104.0,26.0,0.7301,4.8321,0.5796,4.2309,6.62,5.0316,True,3.85,19.23,65.38,84.0,0.7321,317.0,-8.2119,290.97,
daily,ATCX,target_low_h1,last_2y,False,104.0,26.0,0.7301,4.8321,0.5796,4.2309,6.62,5.0316,True,3.85,19.23,65.38,84.0,0.7321,317.0,-8.2119,290.97,
daily,ATCX,target_close_h1,full_history,False,104.0,26.0,1.2445,5.5981,0.9897,4.2334,4.5,4.658,False,23.08,42.31,61.54,53.85,,317.0,-5.0367,301.03,
daily,ATCX,target_close_h1,last_10y,False,104.0,26.0,1.2445,5.5981,0.9897,4.2334,4.5,4.658,False,23.08,42.31,61.54,53.85,,317.0,-5.0367,301.03,
daily,ATCX,target_close_h1,last_5y,False,104.0,26.0,1.2445,5.5981,0.9897,4.2334,4.5,4.658,False,23.08,42.31,61.54,53.85,,317.0,-5.0367,301.03,
daily,ATCX,target_close_h1,last_2y,False,104.0,26.0,1.2445,5.5981,0.9897,4.2334,4.5,4.658,False,23.08,42.31,61.54,53.85,,317.0,-5.0367,301.03,
daily,ATCX,target_high_h5,full_history,False,100.0,26.0,0.8848,7.8292,0.6838,6.3362,8.85,6.6537,False,7.69,19.23,50.0,68.0,,364.0,-0.0589,363.79,
daily,ATCX,target_high_h5,last_10y,False,100.0,26.0,0.8848,7.8292,0.6838,6.3362,8.85,6.6537,False,7.69,19.23,50.0,68.0,,364.0,-0.0589,363.79,
daily,ATCX,target_high_h5,last_5y,False,100.0,26.0,0.8848,7.8292,0.6838,6.3362,8.85,6.6537,False,7.69,19.23,50.0,68.0,,364.0,-0.0589,363.79,
daily,ATCX,target_high_h5,last_2y,False,100.0,26.0,0.8848,7.8292,0.6838,6.3362,8.85,6.6537,False,7.69,19.23,50.0,68.0,,364.0,-0.0589,363.79,
daily,ATCX,target_low_h5,full_history,False,100.0,26.0,0.8729,6.9893,0.6581,5.6507,8.01,8.1319,True,3.85,19.23,53.85,76.92,1.0037,364.0,-10.3847,326.2,
daily,ATCX,target_low_h5,last_10y,False,100.0,26.0,0.8729,6.9893,0.6581,5.6507,8.01,8.1319,True,3.85,19.23,53.85,76.92,1.0037,364.0,-10.3847,326.2,
daily,ATCX,target_low_h5,last_5y,False,100.0,26.0,0.8729,6.9893,0.6581,5.6507,8.01,8.1319,True,3.85,19.23,53.85,76.92,1.0037,364.0,-10.3847,326.2,
daily,ATCX,target_low_h5,last_2y,False,100.0,26.0,0.8729,6.9893,0.6581,5.6507,8.01,8.1319,True,3.85,19.23,53.85,76.92,1.0037,364.0,-10.3847,326.2,
daily,ATCX,target_close_h5,full_history,False,100.0,26.0,1.0833,6.318,0.7904,5.6985,5.83,7.0997,True,0.0,7.69,42.31,50.0,,364.0,-6.1433,341.64,
daily,ATCX,target_close_h5,last_10y,False,100.0,26.0,1.0833,6.318,0.7904,5.6985,5.83,7.0997,True,0.0,7.69,42.31,50.0,,364.0,-6.1433,341.64,
daily,ATCX,target_close_h5,last_5y,False,100.0,26.0,1.0833,6.318,0.7904,5.6985,5.83,7.0997,True,0.0,7.69,42.31,50.0,,364.0,-6.1433,341.64,
daily,ATCX,target_close_h5,last_2y,False,100.0,26.0,1.0833,6.318,0.7904,5.6985,5.83,7.0997,True,0.0,7.69,42.31,50.0,,364.0,-6.1433,341.64,
,ATCX,target_high_h10,full_history,True,,,,,,,,,,,,,,,,,,"عيّنة صغيرة جدًا (train=96, test=25)"
,ATCX,target_high_h10,last_10y,True,,,,,,,,,,,,,,,,,,"عيّنة صغيرة جدًا (train=96, test=25)"
,ATCX,target_high_h10,last_5y,True,,,,,,,,,,,,,,,,,,"عيّنة صغيرة جدًا (train=96, test=25)"
,ATCX,target_high_h10,last_2y,True,,,,,,,,,,,,,,,,,,"عيّنة صغيرة جدًا (train=96, test=25)"
,ATCX,target_low_h10,full_history,True,,,,,,,,,,,,,,,,,,"عيّنة صغيرة جدًا (train=96, test=25)"
,ATCX,target_low_h10,last_10y,True,,,,,,,,,,,,,,,,,,"عيّنة صغيرة جدًا (train=96, test=25)"
,ATCX,target_low_h10,last_5y,True,,,,,,,,,,,,,,,,,,"عيّنة صغيرة جدًا (train=96, test=25)"
