ticker,as_of_date,net_buy,total_buy_votes,total_sell_votes,entry_price,exit_price,status,days_to_exit,entry_touched
AACBU,2025-12-28,True,3,1,10.6,11.1,missed,,True
AACBU,2026-01-04,True,4,1,10.6,11.1,missed,,True
AACBU,2026-01-11,False,1,5,10.58,10.58,missed,,True
AACBU,2026-01-18,False,1,4,10.58,10.58,hit,4.0,True
AACBU,2026-01-25,False,1,4,10.58,10.58,missed,,False
AACBU,2026-02-01,True,3,1,10.67,11.0,missed,,True
AACBU,2026-02-08,True,3,1,10.67,11.0,missed,,True
AACBU,2026-02-15,False,2,4,10.6,10.67,missed,,False
AACBU,2026-02-22,True,2,1,10.6,11.1,missed,,True
AACBU,2026-03-01,True,2,1,10.6,11.66,missed,,True
AACBU,2026-03-08,False,0,5,10.53,10.53,hit,3.0,True
AACBU,2026-03-15,True,6,0,10.7,10.72,missed,,True
AACBU,2026-03-22,True,4,1,10.7,10.7,missed,,True
AACBU,2026-03-29,True,4,1,10.7,10.7,missed,,True
AACBU,2026-04-05,True,4,1,10.7,10.7,missed,,True
AACBU,2026-04-12,True,4,1,10.7,10.7,missed,,True
AACBU,2026-04-19,False,0,5,10.53,10.53,missed,,True
AACBU,2026-04-26,False,0,5,10.53,10.53,missed,,True
AACBU,2026-05-03,False,0,4,10.53,10.53,missed,,True
AACBU,2026-05-10,False,1,4,10.53,10.53,missed,,True
AACBU,2026-05-17,False,1,4,10.53,10.53,missed,,True
AACBU,2026-05-24,False,1,4,10.53,10.53,hit,3.0,True
AACBU,2026-05-31,True,7,0,10.87,11.96,hit,2.0,True
AACBU,2026-06-07,True,4,1,11.75,12.56,missed,,True
AACBU,2026-06-14,False,1,3,10.61,10.61,hit,2.0,True
AACBU,2026-06-21,True,4,1,10.68,13.1,missed,,True
AACBU,2026-06-28,True,4,1,10.68,13.1,missed,,True
AAT,2025-12-28,False,2,3,18.08,18.34,missed,,True
AAT,2026-01-04,False,0,5,18.19,18.44,missed,,True
AAT,2026-01-11,False,2,3,17.88,18.3,missed,,True
AAT,2026-01-18,False,1,5,17.42,18.25,missed,,True
AAT,2026-01-25,False,1,4,17.35,17.83,missed,,True
AAT,2026-02-01,False,1,3,17.29,17.53,missed,,False
AAT,2026-02-08,False,1,2,18.14,18.79,missed,,True
AAT,2026-02-15,True,3,2,17.98,18.14,hit,1.0,True
AAT,2026-02-22,True,5,0,18.94,20.83,missed,,True
AAT,2026-03-01,True,3,1,18.91,19.59,missed,,True
AAT,2026-03-08,True,4,1,18.81,19.1,missed,,True
AAT,2026-03-15,True,3,2,18.51,18.77,hit,1.0,True
AAT,2026-03-22,False,2,4,18.06,18.79,missed,,True
AAT,2026-03-29,False,0,4,17.91,18.44,missed,,False
AAT,2026-04-05,True,4,1,18.4,18.6,hit,1.0,True
AAT,2026-04-12,True,4,0,19.14,19.15,hit,1.0,True
AAT,2026-04-19,True,6,0,20.51,22.56,missed,,True
AAT,2026-04-26,True,5,0,20.61,22.67,missed,,True
AAT,2026-05-03,True,5,0,20.48,20.68,hit,2.0,True
AAT,2026-05-10,True,4,2,20.73,20.99,missed,,True
AAT,2026-05-17,False,2,2,20.41,20.78,missed,,False
AAT,2026-05-24,True,6,0,22.45,23.2,missed,,True
AAT,2026-05-31,True,7,0,22.96,23.2,hit,3.0,True
AAT,2026-06-07,True,4,1,23.66,24.11,hit,1.0,True
AAT,2026-06-14,True,4,1,24.41,24.77,missed,,True
AAT,2026-06-21,True,5,0,24.05,24.27,hit,1.0,True
AAT,2026-06-28,True,5,0,25.18,26.9,missed,,True
ABG,2025-12-28,True,5,0,241.46,243.23,missed,,True
ABG,2026-01-04,False,1,2,230.35,236.05,missed,,False
ABG,2026-01-11,True,5,0,256.03,256.35,missed,,True
ABG,2026-01-18,True,4,0,247.57,251.15,hit,1.0,True
ABG,2026-01-25,False,2,3,238.04,255.92,missed,,True
ABG,2026-02-01,False,0,3,234.06,240.47,missed,,True
ABG,2026-02-08,False,1,4,214.21,231.59,missed,,False
ABG,2026-02-15,False,0,4,229.44,238.85,missed,,True
ABG,2026-02-22,False,1,3,220.05,227.2,missed,,True
ABG,2026-03-01,False,0,4,213.78,222.98,missed,,True
ABG,2026-03-08,False,0,5,204.47,212.84,missed,,True
ABG,2026-03-15,False,0,5,194.91,199.38,missed,,True
ABG,2026-03-22,False,1,5,185.08,192.51,missed,,False
ABG,2026-03-29,False,0,4,194.86,200.56,missed,,True
ABG,2026-04-05,False,2,3,192.56,195.82,missed,,False
ABG,2026-04-12,True,4,1,204.0,204.73,hit,1.0,True
ABG,2026-04-19,True,4,1,211.44,232.58,missed,,True
ABG,2026-04-26,True,3,1,203.06,204.06,missed,,True
ABG,2026-05-03,True,2,1,203.01,207.48,missed,,True
ABG,2026-05-10,True,2,1,200.39,203.5,missed,,True
ABG,2026-05-17,False,0,6,179.17,196.81,missed,,True
ABG,2026-05-24,False,1,4,180.63,188.0,missed,,False
ABG,2026-05-31,False,0,4,187.71,192.0,hit,5.0,True
ABG,2026-06-07,False,3,3,189.0,191.86,missed,,False
ABG,2026-06-14,False,2,2,195.06,202.41,missed,,True
ABG,2026-06-21,True,3,2,197.05,198.0,hit,1.0,True
ABG,2026-06-28,True,5,0,205.17,207.86,hit,4.0,True
ACET,2025-12-28,False,2,2,7.95,8.49,hit,3.0,True
ACET,2026-01-04,True,5,1,8.82,8.89,missed,,True
ACET,2026-01-11,False,1,3,7.94,8.32,missed,,True
ACET,2026-01-18,True,3,1,8.28,8.33,hit,2.0,True
ACET,2026-01-25,False,2,2,8.15,8.55,missed,,True
ACET,2026-02-01,False,1,3,7.99,8.59,missed,,True
ACET,2026-02-08,False,1,3,6.11,7.06,missed,,False
ACET,2026-02-15,False,1,3,6.43,7.01,missed,,False
ACET,2026-02-22,False,0,4,7.02,7.65,missed,,False
ACET,2026-03-01,False,2,2,7.01,7.54,missed,,False
ACET,2026-03-08,False,1,3,7.29,7.61,missed,,True
ACET,2026-03-15,False,2,2,6.86,7.33,missed,,True
ACET,2026-03-22,False,0,4,6.9,7.17,missed,,True
ACET,2026-03-29,False,0,4,6.47,6.87,missed,,True
ACET,2026-04-05,True,3,2,6.99,7.01,missed,,True
ACET,2026-04-12,False,1,3,6.59,7.05,missed,,False
ACET,2026-04-19,True,5,0,8.22,8.27,hit,2.0,True
ACET,2026-04-26,True,3,1,7.9,8.18,hit,4.0,True
ACET,2026-05-03,True,5,0,8.2,9.02,missed,,True
ACET,2026-05-10,True,5,0,8.55,8.57,missed,,True
ACET,2026-05-17,False,2,2,7.68,8.6,missed,,True
ACET,2026-05-24,True,4,1,8.3,8.4,hit,1.0,True
ACET,2026-05-31,True,6,0,9.31,10.24,missed,,True
ACET,2026-06-07,False,1,3,7.26,8.37,missed,,False
ACET,2026-06-14,True,3,1,8.05,8.3,missed,,True
ACET,2026-06-21,True,3,2,8.1,8.3,hit,4.0,True
ACET,2026-06-28,True,5,0,8.37,9.21,missed,,True
ACGR,2025-12-28,True,5,0,66.81,66.82,missed,,True
ACGR,2026-01-04,False,1,3,65.57,66.27,missed,,False
ACGR,2026-01-11,True,4,0,66.4,68.2,missed,,True
