ticker,as_of_date,entry_price,stop_price,target_price,status,days_to_exit
AACG,2026-04-20,1.08,0.93,1.188,hit,4.0
ABLD,2026-01-05,29.62,28.9202,32.582,missed,
ACGL,2026-02-02,96.71,89.94,106.381,missed,
ADEA,2026-01-05,18.44,12.7368,20.284,missed,
ADEA,2026-03-09,22.33,19.27,24.563,missed,
ADEA,2026-03-23,24.49,19.27,26.939,missed,
ADEA,2026-05-11,31.84,29.605,35.024,stopped,5.0
AEHR,2026-03-02,44.07,26.0,48.477,missed,
AEHR,2026-05-11,104.56,76.7101,115.016,missed,
AGRO,2026-03-02,9.32,8.52,10.252,missed,
AGRO,2026-05-04,15.18,12.5,16.698,missed,
ALDFU,2026-06-01,11.5,10.66,12.65,missed,
ALZN,2026-03-09,2.18,1.87,2.398,missed,
AMAT,2026-02-16,354.91,287.4901,390.401,missed,
ARBB,2026-04-20,4.31,3.71,4.741,hit,2.0
ARBB,2026-05-04,5.75,4.02,6.325,missed,
ARVN,2026-02-02,13.83,12.77,15.213,missed,
AS,2026-02-09,39.54,34.82,43.494,missed,
ASTC,2026-01-12,3.48,2.465,3.828,missed,
ASTC,2026-03-30,4.65,1.915,5.115,hit,1.0
ATEX,2026-01-12,23.27,21.08,25.597,missed,
ATEX,2026-02-16,31.89,25.49,35.079,hit,3.0
ATEX,2026-04-27,47.21,34.755,51.931,missed,
ATLCL,2026-02-23,24.9875,24.9051,27.4863,missed,
ATLCL,2026-06-15,25.2,24.95,27.72,missed,
ATOM,2026-01-26,2.84,2.11,3.124,hit,1.0
ATOM,2026-02-16,3.92,2.25,4.312,hit,1.0
ATS,2026-01-05,29.03,26.56,31.933,missed,
ATS,2026-01-12,29.71,28.18,32.681,stopped,5.0
ATS,2026-02-16,31.18,28.18,34.298,missed,
AUTL,2025-12-29,1.87,1.555,2.057,missed,
AUTL,2026-05-18,1.8,1.4301,1.98,missed,
AWI,2026-04-20,180.61,159.0,198.671,missed,
AXGN,2026-01-26,34.72,29.95,38.192,missed,
BABA,2026-01-12,166.31,146.75,182.941,missed,
BBCP,2026-01-05,7.0,6.29,7.7,missed,
BBCP,2026-04-27,7.8,7.38,8.58,missed,
BBWI,2025-12-29,20.43,19.15,22.473,missed,
BBWI,2026-02-16,24.07,21.68,26.477,missed,
BBWI,2026-04-20,20.9,17.3,22.99,missed,
BC,2026-03-23,74.05,69.28,81.455,missed,
BDN,2026-06-08,3.2,2.9,3.52,missed,
BF-B,2026-06-08,26.44,24.66,29.084,missed,
BGDV,2026-02-02,28.385,27.81,31.2235,missed,
BGDV,2026-06-15,30.968,30.0101,34.0648,missed,
BIRK,2026-03-02,42.52,38.205,46.772,stopped,4.0
BIRK,2026-05-25,41.38,31.12,45.518,missed,
BKE,2026-04-27,56.5,52.33,62.15,missed,
BMRA,2026-05-11,2.28,2.11,2.508,missed,
BOLT,2026-04-06,4.93,4.03,5.423,missed,
BOLT,2026-04-20,5.15,4.03,5.665,missed,
BOLT,2026-04-27,4.96,4.03,5.456,missed,
BRK-A,2026-05-11,720999.984,698009.094,793099.9824,missed,
BRK-A,2026-06-15,742046.0,721730.0,816250.6,missed,
BTSG,2026-04-13,46.03,41.465,50.633,missed,
BWA,2026-03-23,54.11,50.21,59.521,missed,
BWG,2026-06-15,8.035,7.79,8.8385,missed,
BZAI,2026-01-19,2.26,1.89,2.486,stopped,3.0
BZUN,2026-01-12,3.05,2.7,3.355,missed,
