ticker,as_of_date,net_buy,total_buy_votes,total_sell_votes,entry_price,exit_price,status,days_to_exit,entry_touched
AKAN,2026-03-28,False,1,4,2.66,2.94,missed,,False
AKAN,2026-04-07,False,1,2,3.1,3.51,missed,,True
AKAN,2026-04-17,True,4,1,3.28,3.89,hit,3.0,True
AKAN,2026-04-27,True,5,1,10.55,12.29,missed,,False
AKAN,2026-05-07,True,5,0,36.53,45.59,missed,,True
AKAN,2026-05-17,True,3,1,20.48,22.75,hit,3.0,True
AKAN,2026-05-27,True,3,2,20.84,22.96,missed,,True
AKAN,2026-06-06,False,2,3,13.5,16.11,missed,,False
AKAN,2026-06-16,True,2,1,18.25,19.7,missed,,True
AKAN,2026-06-26,False,2,3,14.0,14.71,missed,,True
ALC,2026-03-28,False,0,5,72.98,78.85,missed,,False
ALC,2026-04-07,False,1,3,74.31,76.0,hit,1.0,True
ALC,2026-04-17,True,3,1,79.98,81.69,missed,,True
ALC,2026-04-27,False,2,2,74.73,76.27,missed,,True
ALC,2026-05-07,False,1,6,63.88,74.73,missed,,True
ALC,2026-05-17,False,0,5,63.64,66.14,hit,1.0,True
ALC,2026-05-27,False,1,4,66.14,69.52,missed,,True
ALC,2026-06-06,False,2,2,66.77,67.43,missed,,True
ALC,2026-06-16,False,1,3,65.72,66.25,hit,5.0,True
ALC,2026-06-26,True,3,2,67.03,74.58,missed,,True
ALMS,2026-03-28,False,1,2,24.75,25.38,missed,,True
ALMS,2026-04-07,False,0,4,22.28,22.49,missed,,False
ALMS,2026-04-17,False,1,2,23.5,27.49,missed,,False
ALMS,2026-04-27,False,1,2,23.5,25.31,missed,,True
ALMS,2026-05-07,False,0,4,23.62,24.24,hit,4.0,True
ALMS,2026-05-17,False,0,4,22.87,23.29,missed,,True
ALMS,2026-05-27,False,0,4,21.0,21.37,missed,,True
ALMS,2026-06-06,False,1,4,19.06,20.28,hit,3.0,True
ALMS,2026-06-16,False,1,3,21.59,22.36,missed,,False
ALMS,2026-06-26,True,5,0,24.16,29.04,missed,,False
ALVO,2026-03-28,False,0,5,3.11,3.12,hit,1.0,True
ALVO,2026-04-07,False,1,4,3.39,3.58,missed,,False
ALVO,2026-04-17,False,3,3,3.6,3.61,missed,,True
ALVO,2026-04-27,False,0,6,3.3,3.51,hit,1.0,True
ALVO,2026-05-07,False,1,5,3.2,3.37,missed,,False
ALVO,2026-05-17,False,2,3,3.31,3.45,missed,,True
ALVO,2026-05-27,False,2,2,3.4,3.46,missed,,True
ALVO,2026-06-06,True,3,1,3.46,3.58,missed,,False
ALVO,2026-06-16,True,5,1,3.2,4.14,missed,,False
ALVO,2026-06-26,True,3,1,3.59,3.69,missed,,True
BMEZ,2026-03-28,False,0,5,13.45,14.0,hit,1.0,True
BMEZ,2026-04-07,False,1,4,13.79,14.09,missed,,False
BMEZ,2026-04-17,True,3,1,14.3,14.51,missed,,True
BMEZ,2026-04-27,False,1,2,13.79,14.09,missed,,True
BMEZ,2026-05-07,False,1,4,13.84,13.97,missed,,False
BMEZ,2026-05-17,False,2,4,13.7,13.84,missed,,False
BMEZ,2026-05-27,True,2,1,13.97,14.1,missed,,False
BMEZ,2026-06-06,True,3,1,14.18,14.32,hit,3.0,True
BMEZ,2026-06-16,True,4,0,14.32,16.01,missed,,False
BMEZ,2026-06-26,True,6,0,14.32,16.64,missed,,False
BRLS,2026-03-28,False,0,5,1.36,1.42,missed,,False
