ticker,as_of_date,net_buy,total_buy_votes,total_sell_votes,entry_price,exit_price,status,days_to_exit,entry_touched
AKAN,2026-03-28,False,1,4,2.49,3.52,missed,,False
AKAN,2026-04-07,False,1,2,3.11,3.3,missed,,True
AKAN,2026-04-17,True,4,1,3.14,3.6,missed,,False
AKAN,2026-04-27,True,5,1,9.26,15.15,missed,,False
AKAN,2026-05-07,True,5,0,25.38,41.5,missed,,True
AKAN,2026-05-17,True,3,1,20.35,26.46,hit,4.0,True
AKAN,2026-05-27,True,3,2,20.29,25.59,missed,,True
AKAN,2026-06-06,False,2,3,15.14,16.99,hit,4.0,True
AKAN,2026-06-16,True,2,1,16.45,20.26,missed,,True
AKAN,2026-06-26,False,2,3,14.0,15.76,missed,,True
ALC,2026-03-28,False,0,5,72.67,75.4,missed,,False
ALC,2026-04-07,False,1,3,73.79,74.72,missed,,False
ALC,2026-04-17,True,3,1,78.57,81.5,missed,,True
ALC,2026-04-27,False,2,2,75.03,75.7,missed,,True
ALC,2026-05-07,False,1,6,63.03,67.13,missed,,True
ALC,2026-05-17,False,0,5,63.34,64.47,missed,,False
ALC,2026-05-27,False,1,4,66.18,68.23,missed,,True
ALC,2026-06-06,False,2,2,65.94,66.91,missed,,False
ALC,2026-06-16,False,1,3,65.48,67.56,hit,5.0,True
ALC,2026-06-26,True,3,2,67.6,68.96,hit,4.0,True
ALMS,2026-03-28,False,1,2,24.05,26.93,missed,,True
ALMS,2026-04-07,False,0,4,21.28,22.98,missed,,False
ALMS,2026-04-17,False,1,2,24.18,25.84,missed,,False
ALMS,2026-04-27,False,1,2,24.44,25.8,missed,,True
ALMS,2026-05-07,False,0,4,23.76,24.5,hit,4.0,True
ALMS,2026-05-17,False,0,4,22.74,25.02,missed,,True
ALMS,2026-05-27,False,0,4,21.02,22.68,missed,,True
ALMS,2026-06-06,False,1,4,18.93,20.92,missed,,False
ALMS,2026-06-16,False,1,3,22.19,24.32,missed,,False
ALMS,2026-06-26,True,5,0,24.34,26.46,missed,,False
ALVO,2026-03-28,False,0,5,3.02,3.3,missed,,False
ALVO,2026-04-07,False,1,4,3.39,3.6,missed,,False
ALVO,2026-04-17,False,3,3,3.6,3.67,missed,,True
ALVO,2026-04-27,False,0,6,3.23,3.47,missed,,False
ALVO,2026-05-07,False,1,5,3.2,3.66,missed,,False
ALVO,2026-05-17,False,2,3,3.24,3.55,missed,,False
ALVO,2026-05-27,False,2,2,3.36,3.48,missed,,True
ALVO,2026-06-06,True,3,1,3.33,3.6,missed,,False
ALVO,2026-06-16,True,5,1,3.2,4.33,missed,,False
ALVO,2026-06-26,True,3,1,3.36,3.89,missed,,False
BMEZ,2026-03-28,False,0,5,13.35,13.84,missed,,False
BMEZ,2026-04-07,False,2,4,13.88,14.0,missed,,False
BMEZ,2026-04-17,True,3,1,14.2,14.42,missed,,True
BMEZ,2026-04-27,False,1,2,13.82,13.95,hit,3.0,True
BMEZ,2026-05-07,False,0,4,13.86,14.05,missed,,False
BMEZ,2026-05-17,False,1,4,13.75,14.11,hit,5.0,True
BMEZ,2026-05-27,True,3,1,14.0,14.2,missed,,False
BMEZ,2026-06-06,True,4,1,14.2,14.44,hit,5.0,True
BMEZ,2026-06-16,True,5,0,14.42,14.6,missed,,False
BMEZ,2026-06-26,True,6,0,14.89,15.25,missed,,False
BRLS,2026-03-28,False,0,5,1.39,1.53,missed,,True
BRLS,2026-04-07,False,0,4,1.32,1.5,missed,,True
BRLS,2026-04-17,False,1,2,0.89,0.98,missed,,False
BRLS,2026-04-27,False,2,3,0.86,1.13,missed,,False
BRLS,2026-05-07,False,2,2,1.45,1.61,missed,,True
BRLS,2026-05-17,False,2,2,1.31,1.4,missed,,False
BRLS,2026-05-27,True,5,0,1.38,1.46,missed,,False
BRLS,2026-06-06,True,5,0,1.54,1.62,missed,,True
BRLS,2026-06-16,False,1,6,1.16,1.44,missed,,True
BRLS,2026-06-26,True,5,0,1.36,1.53,missed,,True
BXC,2026-03-28,False,1,3,51.36,53.96,missed,,True
BXC,2026-04-07,False,1,3,50.69,52.04,missed,,False
BXC,2026-04-17,True,3,1,54.44,69.0,missed,,False
BXC,2026-04-27,False,2,2,56.55,59.37,missed,,True
BXC,2026-05-07,False,1,2,48.03,62.97,missed,,False
BXC,2026-05-17,False,0,4,49.6,54.51,missed,,True
BXC,2026-05-27,False,2,2,49.44,52.54,missed,,False
BXC,2026-06-06,False,1,3,49.5,52.87,missed,,False
BXC,2026-06-16,True,2,1,54.31,57.0,missed,,False
BXC,2026-06-26,True,7,0,62.0,65.33,missed,,True
CLGN,2026-03-28,True,3,2,0.57,0.74,missed,,True
CLGN,2026-04-07,False,1,6,0.32,0.5,missed,,True
CLGN,2026-04-17,False,2,3,0.31,0.39,missed,,False
CLGN,2026-04-27,False,2,2,0.38,0.42,missed,,True
CLGN,2026-05-07,False,2,2,0.38,0.44,missed,,False
CLGN,2026-05-17,True,4,1,0.38,0.45,missed,,False
CLGN,2026-05-27,False,2,2,0.4,0.43,missed,,False
CLGN,2026-06-06,False,0,5,0.37,0.41,missed,,True
CLGN,2026-06-16,False,0,4,0.3,0.38,missed,,False
CLGN,2026-06-26,False,0,3,0.32,0.38,missed,,False
DULL,2026-03-28,False,2,2,39.0,66.46,missed,,False
DULL,2026-04-07,False,0,3,50.16,53.4,missed,,True
DULL,2026-04-17,False,1,2,46.29,48.71,missed,,False
DULL,2026-04-27,False,2,2,49.76,51.72,missed,,False
DULL,2026-05-07,False,0,5,49.78,50.88,hit,5.0,True
DULL,2026-05-17,True,4,2,51.11,61.5,missed,,False
DULL,2026-05-27,True,3,1,56.17,61.5,missed,,True
DULL,2026-06-06,True,6,0,56.89,67.0,missed,,False
DULL,2026-06-16,True,3,1,61.02,63.39,missed,,False
DULL,2026-06-26,True,5,1,73.87,74.5,hit,1.0,True
ENVB,2026-03-28,False,1,3,1.83,1.92,missed,,False
ENVB,2026-04-07,False,1,3,1.94,2.07,missed,,False
ENVB,2026-04-17,False,1,4,1.34,2.4,missed,,False
ENVB,2026-04-27,True,5,1,3.43,7.27,missed,,True
ENVB,2026-05-07,False,1,2,2.99,3.43,missed,,True
ENVB,2026-05-17,False,1,3,2.21,2.45,missed,,True
ENVB,2026-05-27,False,1,3,2.09,2.34,missed,,True
ENVB,2026-06-06,False,0,4,1.8,2.02,missed,,True
ENVB,2026-06-16,False,0,3,1.36,1.67,missed,,True
ENVB,2026-06-26,False,2,2,1.24,1.45,missed,,False
EPEM,2026-03-28,False,0,4,24.49,24.53,hit,1.0,True
EPEM,2026-04-07,False,2,3,25.0,25.25,missed,,False
EPEM,2026-04-17,True,4,0,27.33,30.42,missed,,True
EPEM,2026-04-27,True,4,1,27.94,28.0,hit,3.0,True
EPEM,2026-05-07,True,5,1,28.4,29.59,missed,,False
EPEM,2026-05-17,False,3,4,28.29,28.4,hit,3.0,True
EPEM,2026-05-27,True,2,1,28.7,29.74,missed,,False
EPEM,2026-06-06,False,2,2,28.39,30.05,hit,5.0,True
EPEM,2026-06-16,True,3,2,29.1,30.23,missed,,True
EPEM,2026-06-26,True,4,1,28.79,28.95,hit,1.0,True
ERO,2026-03-28,False,1,4,24.2,25.07,missed,,False
ERO,2026-04-07,False,2,2,27.84,28.98,missed,,False
ERO,2026-04-17,False,1,3,28.65,30.03,missed,,True
ERO,2026-04-27,False,1,2,27.02,27.75,missed,,True
ERO,2026-05-07,False,0,3,26.53,27.66,missed,,False
ERO,2026-05-17,False,1,2,27.26,28.0,hit,5.0,True
ERO,2026-05-27,False,2,3,28.06,29.0,missed,,False
ERO,2026-06-06,False,1,5,25.78,31.24,missed,,False
ERO,2026-06-16,True,3,1,29.98,31.83,missed,,True
ERO,2026-06-26,False,0,3,25.63,27.33,missed,,False
EXFY,2026-03-28,False,0,4,0.8,0.89,missed,,False
EXFY,2026-04-07,False,1,4,0.81,0.86,hit,4.0,True
EXFY,2026-04-17,False,2,2,0.88,0.93,missed,,True
EXFY,2026-04-27,True,4,0,0.9,0.98,missed,,False
EXFY,2026-05-07,True,5,0,1.06,1.13,hit,4.0,True
EXFY,2026-05-17,True,4,0,1.1,1.18,missed,,False
EXFY,2026-05-27,True,5,2,1.13,1.16,missed,,False
EXFY,2026-06-06,True,4,2,1.13,1.18,missed,,False
EXFY,2026-06-16,True,4,1,1.23,1.34,hit,2.0,True
EXFY,2026-06-26,True,6,0,1.34,1.69,missed,,False
